wkid,latestWkid,macro,name,wkt,wkt2,description,authority,version,deprecated,areaname,slat,nlat,llon,rlon,accuracy
4441,4441,"PE_VT_NZVD2009_TO_ONE_TREE_POINT_1","NZVD2009_To_One_Tree_Point_1","VERTTRAN[""NZVD2009_To_One_Tree_Point_1"",VERTCS[""NZVD2009_height"",VDATUM[""New_Zealand_Vertical_Datum_2009""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]],VERTCS[""One_Tree_Point"",VDATUM[""One_Tree_Point""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]],VTMETHOD[""Vertical_Offset""],PARAMETER[""Vertical_Offset"",0.06],OPERATIONACCURACY[0.03]]","COORDINATEOPERATION[""NZVD2009_To_One_Tree_Point_1"",SOURCECRS[VERTCRS[""NZVD2009_height"",VDATUM[""New_Zealand_Vertical_Datum_2009""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]],TARGETCRS[VERTCRS[""One_Tree_Point"",VDATUM[""One_Tree_Point""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]],METHOD[""Vertical_Offset""],PARAMETER[""Vertical_Offset"",0.06,LENGTHUNIT[""Meter"",1.0]],OPERATIONACCURACY[0.03]]","NZVD2009 to One Tree Point 1964 (height) (1)","EPSG","7.1.9(10.1.0)","no","New Zealand - North Island - One Tree vcrs",-36.41,-34.36,172.61,174.83,0.03
4442,4442,"PE_VT_NZVD2009_TO_AUCKLAND_1","NZVD2009_To_Auckland_1","VERTTRAN[""NZVD2009_To_Auckland_1"",VERTCS[""NZVD2009_height"",VDATUM[""New_Zealand_Vertical_Datum_2009""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]],VERTCS[""Auckland"",VDATUM[""Auckland""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]],VTMETHOD[""Vertical_Offset""],PARAMETER[""Vertical_Offset"",0.34],OPERATIONACCURACY[0.05]]","COORDINATEOPERATION[""NZVD2009_To_Auckland_1"",SOURCECRS[VERTCRS[""NZVD2009_height"",VDATUM[""New_Zealand_Vertical_Datum_2009""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]],TARGETCRS[VERTCRS[""Auckland"",VDATUM[""Auckland""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]],METHOD[""Vertical_Offset""],PARAMETER[""Vertical_Offset"",0.34,LENGTHUNIT[""Meter"",1.0]],OPERATIONACCURACY[0.05]]","NZVD2009 to Auckland 1946 (height) (1)","EPSG","7.1.9(10.1.0)","no","New Zealand - North Island - Auckland vcrs",-37.67,-36.12,174.0,176.17,0.05
4443,4443,"PE_VT_NZVD2009_TO_MOTURIKI_1","NZVD2009_To_Moturiki_1","VERTTRAN[""NZVD2009_To_Moturiki_1"",VERTCS[""NZVD2009_height"",VDATUM[""New_Zealand_Vertical_Datum_2009""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]],VERTCS[""Moturiki"",VDATUM[""Moturiki""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]],VTMETHOD[""Vertical_Offset""],PARAMETER[""Vertical_Offset"",0.24],OPERATIONACCURACY[0.06]]","COORDINATEOPERATION[""NZVD2009_To_Moturiki_1"",SOURCECRS[VERTCRS[""NZVD2009_height"",VDATUM[""New_Zealand_Vertical_Datum_2009""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]],TARGETCRS[VERTCRS[""Moturiki"",VDATUM[""Moturiki""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]],METHOD[""Vertical_Offset""],PARAMETER[""Vertical_Offset"",0.24,LENGTHUNIT[""Meter"",1.0]],OPERATIONACCURACY[0.06]]","NZVD2009 to Moturiki 1953 (height) (1)","EPSG","7.1.9(10.1.0)","no","New Zealand - North Island - Moturiki vcrs",-40.59,-37.52,174.57,177.26,0.06
4444,4444,"PE_VT_NZVD2009_TO_NELSON_1","NZVD2009_To_Nelson_1","VERTTRAN[""NZVD2009_To_Nelson_1"",VERTCS[""NZVD2009_height"",VDATUM[""New_Zealand_Vertical_Datum_2009""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]],VERTCS[""Nelson"",VDATUM[""Nelson""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]],VTMETHOD[""Vertical_Offset""],PARAMETER[""Vertical_Offset"",0.29],OPERATIONACCURACY[0.07]]","COORDINATEOPERATION[""NZVD2009_To_Nelson_1"",SOURCECRS[VERTCRS[""NZVD2009_height"",VDATUM[""New_Zealand_Vertical_Datum_2009""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]],TARGETCRS[VERTCRS[""Nelson"",VDATUM[""Nelson""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]],METHOD[""Vertical_Offset""],PARAMETER[""Vertical_Offset"",0.29,LENGTHUNIT[""Meter"",1.0]],OPERATIONACCURACY[0.07]]","NZVD2009 to Nelson 1955 (height) (1)","EPSG","7.1.9(10.1.0)","no","New Zealand - South Island - Nelson vcrs",-42.44,-40.44,171.82,174.46,0.07
4445,4445,"PE_VT_NZVD2009_TO_GISBORNE_1","NZVD2009_To_Gisborne_1","VERTTRAN[""NZVD2009_To_Gisborne_1"",VERTCS[""NZVD2009_height"",VDATUM[""New_Zealand_Vertical_Datum_2009""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]],VERTCS[""Gisborne"",VDATUM[""Gisborne""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]],VTMETHOD[""Vertical_Offset""],PARAMETER[""Vertical_Offset"",0.34],OPERATIONACCURACY[0.02]]","COORDINATEOPERATION[""NZVD2009_To_Gisborne_1"",SOURCECRS[VERTCRS[""NZVD2009_height"",VDATUM[""New_Zealand_Vertical_Datum_2009""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]],TARGETCRS[VERTCRS[""Gisborne"",VDATUM[""Gisborne""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]],METHOD[""Vertical_Offset""],PARAMETER[""Vertical_Offset"",0.34,LENGTHUNIT[""Meter"",1.0]],OPERATIONACCURACY[0.02]]","NZVD2009 to Gisborne 1926 (height) (1)","EPSG","7.1.9(10.1.0)","no","New Zealand - North Island - Gisborne vcrs",-39.04,-37.49,176.41,178.63,0.02
4446,4446,"PE_VT_NZVD2009_TO_NAPIER_1","NZVD2009_To_Napier_1","VERTTRAN[""NZVD2009_To_Napier_1"",VERTCS[""NZVD2009_height"",VDATUM[""New_Zealand_Vertical_Datum_2009""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]],VERTCS[""Napier"",VDATUM[""Napier""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]],VTMETHOD[""Vertical_Offset""],PARAMETER[""Vertical_Offset"",0.2],OPERATIONACCURACY[0.05]]","COORDINATEOPERATION[""NZVD2009_To_Napier_1"",SOURCECRS[VERTCRS[""NZVD2009_height"",VDATUM[""New_Zealand_Vertical_Datum_2009""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]],TARGETCRS[VERTCRS[""Napier"",VDATUM[""Napier""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]],METHOD[""Vertical_Offset""],PARAMETER[""Vertical_Offset"",0.2,LENGTHUNIT[""Meter"",1.0]],OPERATIONACCURACY[0.05]]","NZVD2009 to Napier 1962 (height) (1)","EPSG","7.1.9(10.1.0)","no","New Zealand - North Island - Hawkes Bay mc Napier vcrs",-40.57,-38.87,175.8,178.07,0.05
4447,4447,"PE_VT_NZVD2009_TO_TARANAKI_1","NZVD2009_To_Taranaki_1","VERTTRAN[""NZVD2009_To_Taranaki_1"",VERTCS[""NZVD2009_height"",VDATUM[""New_Zealand_Vertical_Datum_2009""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]],VERTCS[""Taranaki"",VDATUM[""Taranaki""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]],VTMETHOD[""Vertical_Offset""],PARAMETER[""Vertical_Offset"",0.32],OPERATIONACCURACY[0.05]]","COORDINATEOPERATION[""NZVD2009_To_Taranaki_1"",SOURCECRS[VERTCRS[""NZVD2009_height"",VDATUM[""New_Zealand_Vertical_Datum_2009""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]],TARGETCRS[VERTCRS[""Taranaki"",VDATUM[""Taranaki""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]],METHOD[""Vertical_Offset""],PARAMETER[""Vertical_Offset"",0.32,LENGTHUNIT[""Meter"",1.0]],OPERATIONACCURACY[0.05]]","NZVD2009 to Taranaki 1970 (height) (1)","EPSG","7.1.9(10.1.0)","no","New Zealand - North Island - Taranaki vcrs",-39.92,-38.41,173.68,174.95,0.05
4448,4448,"PE_VT_NZVD2009_TO_WELLINGTON_1","NZVD2009_To_Wellington_1","VERTTRAN[""NZVD2009_To_Wellington_1"",VERTCS[""NZVD2009_height"",VDATUM[""New_Zealand_Vertical_Datum_2009""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]],VERTCS[""Wellington"",VDATUM[""Wellington""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]],VTMETHOD[""Vertical_Offset""],PARAMETER[""Vertical_Offset"",0.44],OPERATIONACCURACY[0.04]]","COORDINATEOPERATION[""NZVD2009_To_Wellington_1"",SOURCECRS[VERTCRS[""NZVD2009_height"",VDATUM[""New_Zealand_Vertical_Datum_2009""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]],TARGETCRS[VERTCRS[""Wellington"",VDATUM[""Wellington""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]],METHOD[""Vertical_Offset""],PARAMETER[""Vertical_Offset"",0.44,LENGTHUNIT[""Meter"",1.0]],OPERATIONACCURACY[0.04]]","NZVD2009 to Wellington 1953 (height) (1)","EPSG","7.1.9(10.1.0)","no","New Zealand - North Island - Wellington vcrs",-41.67,-40.12,174.52,176.55,0.04
4449,4449,"PE_VT_NZVD2009_TO_LYTTELTON_1","NZVD2009_To_Lyttelton_1","VERTTRAN[""NZVD2009_To_Lyttelton_1"",VERTCS[""NZVD2009_height"",VDATUM[""New_Zealand_Vertical_Datum_2009""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]],VERTCS[""Lyttelton"",VDATUM[""Lyttelton""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]],VTMETHOD[""Vertical_Offset""],PARAMETER[""Vertical_Offset"",0.47],OPERATIONACCURACY[0.09]]","COORDINATEOPERATION[""NZVD2009_To_Lyttelton_1"",SOURCECRS[VERTCRS[""NZVD2009_height"",VDATUM[""New_Zealand_Vertical_Datum_2009""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]],TARGETCRS[VERTCRS[""Lyttelton"",VDATUM[""Lyttelton""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]],METHOD[""Vertical_Offset""],PARAMETER[""Vertical_Offset"",0.47,LENGTHUNIT[""Meter"",1.0]],OPERATIONACCURACY[0.09]]","NZVD2009 to Lyttelton 1937 (height) (1)","EPSG","7.1.9(10.1.0)","no","New Zealand - South Island - Lyttleton vcrs",-44.92,-41.6,168.95,173.77,0.09
4450,4450,"PE_VT_NZVD2009_TO_DUNEDIN_1","NZVD2009_To_Dunedin_1","VERTTRAN[""NZVD2009_To_Dunedin_1"",VERTCS[""NZVD2009_height"",VDATUM[""New_Zealand_Vertical_Datum_2009""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]],VERTCS[""Dunedin"",VDATUM[""Dunedin""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]],VTMETHOD[""Vertical_Offset""],PARAMETER[""Vertical_Offset"",0.49],OPERATIONACCURACY[0.07]]","COORDINATEOPERATION[""NZVD2009_To_Dunedin_1"",SOURCECRS[VERTCRS[""NZVD2009_height"",VDATUM[""New_Zealand_Vertical_Datum_2009""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]],TARGETCRS[VERTCRS[""Dunedin"",VDATUM[""Dunedin""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]],METHOD[""Vertical_Offset""],PARAMETER[""Vertical_Offset"",0.49,LENGTHUNIT[""Meter"",1.0]],OPERATIONACCURACY[0.07]]","NZVD2009 to Dunedin 1958 (height) (1)","EPSG","7.1.9(10.1.0)","no","New Zealand - South Island - Dunedin vcrs",-46.4,-43.82,167.73,171.28,0.07
